wave[A] flux[Arbitrary]
875500 0.06923
876000 0.06908
876500 0.06892
877000 0.06876
877500 0.06860
878000 0.06844
878500 0.06829
879000 0.06813
879500 0.06797
880000 0.06781
880500 0.06766
881000 0.06750
881500 0.06734
882000 0.06718
882500 0.06703
883000 0.06687
883500 0.06671
884000 0.06655
884500 0.06639
885000 0.06624
885500 0.06608
886000 0.06592
886500 0.06576
887000 0.06561
887500 0.06545
888000 0.06529
888500 0.06513
889000 0.06498
889500 0.06482
890000 0.06466
890500 0.06450
891000 0.06435
891500 0.06419
892000 0.06403
892500 0.06387
893000 0.06371
893500 0.06356
894000 0.06340
894500 0.06324
895000 0.06308
895500 0.06293
896000 0.06277
896500 0.06261
897000 0.06245
897500 0.06230
898000 0.06214
898500 0.06198
899000 0.06182
899500 0.06166
900000 0.06151
900500 0.06135
901000 0.06119
901500 0.06103
902000 0.06088
902500 0.06072
903000 0.06056
903500 0.06040
904000 0.06025
904500 0.06009
905000 0.05993
905500 0.05977
906000 0.05963
906500 0.05948
907000 0.05933
907500 0.05918
908000 0.05903
908500 0.05888
909000 0.05873
909500 0.05858
910000 0.05843
910500 0.05828
911000 0.05813
911500 0.05798
912000 0.05783
912500 0.05768
913000 0.05753
913500 0.05738
914000 0.05723
914500 0.05708
915000 0.05693
915500 0.05678
916000 0.05663
916500 0.05648
917000 0.05633
917500 0.05618
918000 0.05603
918500 0.05588
919000 0.05573
919500 0.05558
920000 0.05543
920500 0.05528
921000 0.05513
921500 0.05498
922000 0.05483
922500 0.05468
923000 0.05453
923500 0.05438
924000 0.05423
924500 0.05408
925000 0.05393
925500 0.05378
926000 0.05363
926500 0.05348
927000 0.05333
927500 0.05318
928000 0.05304
928500 0.05289
929000 0.05274
929500 0.05259
930000 0.05244
