wave[A] flux[Arbitrary]
206000 0.45583
206500 0.45529
207000 0.45475
207500 0.45421
208000 0.45368
208500 0.45315
209000 0.45262
209500 0.45209
210000 0.45155
210500 0.45102
211000 0.45049
211500 0.44996
212000 0.44943
212500 0.44890
213000 0.44837
213500 0.44784
214000 0.44731
214500 0.44678
215000 0.44625
215500 0.44572
216000 0.44519
216500 0.44466
217000 0.44413
217500 0.44361
218000 0.44309
218500 0.44257
219000 0.44205
219500 0.44154
220000 0.44102
220500 0.44050
221000 0.43998
221500 0.43947
222000 0.43895
222500 0.43843
223000 0.43791
223500 0.43740
224000 0.43688
224500 0.43636
225000 0.43585
225500 0.43533
226000 0.43481
226500 0.43429
227000 0.43378
227500 0.43326
228000 0.43276
228500 0.43225
229000 0.43175
229500 0.43125
230000 0.43074
230500 0.43024
231000 0.42973
231500 0.42923
232000 0.42873
232500 0.42822
233000 0.42772
233500 0.42722
234000 0.42671
234500 0.42621
235000 0.42570
235500 0.42520
236000 0.42470
236500 0.42419
237000 0.42369
237500 0.42318
238000 0.42268
238500 0.42219
239000 0.42170
239500 0.42121
240000 0.42072
240500 0.42023
241000 0.41974
241500 0.41925
242000 0.41876
242500 0.41827
243000 0.41778
243500 0.41729
244000 0.41680
244500 0.41631
245000 0.41582
245500 0.41533
246000 0.41484
246500 0.41435
247000 0.41386
247500 0.41337
248000 0.41288
248500 0.41239
249000 0.41190
249500 0.41141
250000 0.41093
250500 0.41046
251000 0.40998
251500 0.40950
252000 0.40903
252500 0.40855
253000 0.40808
253500 0.40760
254000 0.40712
254500 0.40665
255000 0.40617
255500 0.40570
256000 0.40522
256500 0.40474
257000 0.40427
257500 0.40379
258000 0.40331
258500 0.40284
259000 0.40236
259500 0.40189
260000 0.40141
260500 0.40093
261000 0.40046
261500 0.39999
262000 0.39953
262500 0.39907
263000 0.39861
263500 0.39814
264000 0.39768
264500 0.39722
265000 0.39676
265500 0.39630
266000 0.39583
266500 0.39537
267000 0.39491
267500 0.39445
268000 0.39399
268500 0.39352
269000 0.39306
269500 0.39260
270000 0.39214
270500 0.39168
271000 0.39121
271500 0.39075
272000 0.39029
272500 0.38983
273000 0.38936
273500 0.38891
274000 0.38846
274500 0.38801
275000 0.38756
275500 0.38711
276000 0.38667
276500 0.38622
277000 0.38577
277500 0.38532
278000 0.38487
278500 0.38443
279000 0.38398
279500 0.38353
280000 0.38308
