wave[A] flux[Arbitrary]
6615 0.68096
6630 0.68185
6645 0.68273
6660 0.68362
6675 0.67787
6690 0.67193
6705 0.66599
6720 0.66006
6735 0.65412
6750 0.64818
6765 0.64225
6780 0.63631
6795 0.63037
6810 0.62444
6825 0.61850
6840 0.61256
6855 0.60662
6870 0.60069
6885 0.59433
6900 0.58582
6915 0.57731
6930 0.56880
6945 0.56029
6960 0.55178
6975 0.54327
6990 0.53476
7005 0.52625
7020 0.51774
7035 0.50923
7050 0.50072
7065 0.49221
7080 0.48369
7095 0.47518
7110 0.46667
7125 0.46211
7140 0.45820
7155 0.45430
7170 0.45039
7185 0.44649
7200 0.44258
7215 0.43868
7230 0.43477
7245 0.43087
7260 0.42696
7275 0.42306
7290 0.41915
7305 0.41525
7320 0.41134
7335 0.40744
7350 0.40360
7365 0.40133
7380 0.39906
7395 0.39678
7410 0.39451
7425 0.39224
7440 0.38997
7455 0.38770
7470 0.38543
7485 0.38316
7500 0.38089
7515 0.37862
7530 0.37634
7545 0.37407
7560 0.37180
7575 0.36953
7590 0.36726
7605 0.36601
7620 0.36521
7635 0.36441
7650 0.36361
7665 0.36280
7680 0.36200
7695 0.36120
7710 0.36040
7725 0.35959
7740 0.35879
7755 0.35799
7770 0.35719
7785 0.35638
7800 0.35558
7815 0.35478
7830 0.35398
7845 0.35317
7860 0.35063
7875 0.34768
7890 0.34472
7905 0.34177
7920 0.33881
7935 0.33586
7950 0.33290
7965 0.32995
7980 0.32699
7995 0.32404
8010 0.32108
8025 0.31813
8040 0.31517
8055 0.31222
8070 0.30926
8085 0.30631
8100 0.30336
8115 0.30059
8130 0.29818
8145 0.29576
8160 0.29334
8175 0.29093
8190 0.28851
8205 0.28610
8220 0.28368
8235 0.28127
8250 0.27885
8265 0.27643
8280 0.27402
8295 0.27160
8310 0.26919
8325 0.26677
8340 0.26435
8355 0.26194
8370 0.25952
8385 0.25757
8400 0.25661
8415 0.25564
8430 0.25467
8445 0.25370
8460 0.25273
8475 0.25176
8490 0.25079
8505 0.24982
8520 0.24885
8535 0.24789
8550 0.24692
8565 0.24595
8580 0.24498
8595 0.24401
8610 0.24304
8625 0.24207
8640 0.24110
8655 0.24013
8670 0.23877
8685 0.23724
8700 0.23570
8715 0.23416
8730 0.23262
8745 0.23108
8760 0.22954
8775 0.22801
8790 0.22647
8805 0.22493
8820 0.22339
8835 0.22185
8850 0.22031
8865 0.21878
8880 0.21724
8895 0.21570
8910 0.21416
8925 0.21262
8940 0.21108
8955 0.20956
8970 0.20806
8985 0.20656
9000 0.20506
9015 0.20356
9030 0.20206
9045 0.20056
9060 0.19906
9075 0.19756
9090 0.19606
9105 0.19456
9120 0.19306
9135 0.19156
9150 0.19006
9165 0.18856
9180 0.18706
9195 0.18556
9210 0.18406
9225 0.18256
9240 0.18106
9255 0.17968
9270 0.17839
9285 0.17711
9300 0.17583
9315 0.17454
9330 0.17326
9345 0.17198
9360 0.17069
9375 0.16941
9390 0.16812
9405 0.16684
9420 0.16556
9435 0.16427
9450 0.16299
9465 0.16170
9480 0.16042
9495 0.15914
9510 0.15785
9525 0.15657
9540 0.15528
9555 0.15400
9570 0.15327
9585 0.15255
9600 0.15184
9615 0.15113
9630 0.15041
9645 0.14970
9660 0.14899
9675 0.14827
9690 0.14756
9705 0.14684
9720 0.14613
9735 0.14542
9750 0.14470
9765 0.14399
9780 0.14327
9795 0.14256
9810 0.14185
9825 0.14113
9840 0.14042
9855 0.13970
9870 0.13899
9885 0.13875
9900 0.13870
9915 0.13864
9930 0.13859
9945 0.13853
9960 0.13848
9975 0.13843
9990 0.13837
10005 0.13832
10020 0.13826
10035 0.13821
10050 0.13816
10065 0.13810
10080 0.13805
10095 0.13799
10110 0.13794
10125 0.13788
10140 0.13783
10155 0.13778
10170 0.13772
10185 0.13767
10200 0.13761
10215 0.13699
10230 0.13619
10245 0.13539
10260 0.13458
10275 0.13378
10290 0.13298
10305 0.13218
10320 0.13138
10335 0.13057
10350 0.12977
10365 0.12897
10380 0.12817
10395 0.12736
10410 0.12656
10425 0.12576
10440 0.12496
10455 0.12416
10470 0.12335
10485 0.12255
10500 0.12175
10515 0.12095
10530 0.12014
10545 0.11936
10560 0.11876
10575 0.11816
10590 0.11756
10605 0.11695
10620 0.11635
10635 0.11575
10650 0.11515
10665 0.11455
10680 0.11395
10695 0.11335
10710 0.11275
10725 0.11215
10740 0.11155
10755 0.11095
10770 0.11035
10785 0.10975
10800 0.10915
10815 0.10855
10830 0.10795
10845 0.10735
10860 0.10674
10875 0.10614
10890 0.10554
10905 0.10476
10920 0.10386
10935 0.10296
10950 0.10206
10965 0.10117
10980 0.10027
10995 0.09937
11010 0.09847
11025 0.09757
11040 0.09667
11055 0.09578
11070 0.09488
11085 0.09398
11100 0.09308
11115 0.09218
11130 0.09129
11145 0.09039
11160 0.08949
11175 0.08859
11190 0.08769
11205 0.08680
11220 0.08590
11235 0.08500
11250 0.08410
11265 0.08343
11280 0.08310
11295 0.08277
11310 0.08244
11325 0.08211
11340 0.08178
11355 0.08145
11370 0.08112
11385 0.08080
11400 0.08047
11415 0.08014
11430 0.07981
11445 0.07948
11460 0.07915
11475 0.07882
11490 0.07849
11505 0.07816
11520 0.07783
11535 0.07750
11550 0.07718
11565 0.07685
11580 0.07652
11595 0.07619
11610 0.07586
11625 0.07553
11640 0.07497
11655 0.07400
11670 0.07302
11685 0.07204
11700 0.07107
11715 0.07009
11730 0.06912
11745 0.06814
11760 0.06717
11775 0.06619
11790 0.06522
11805 0.06424
11820 0.06327
11835 0.06229
11850 0.06132
11865 0.06034
11880 0.05937
11895 0.05839
11910 0.05742
11925 0.05644
11940 0.05547
11955 0.05449
11970 0.05351
11985 0.05254
12000 0.05156
12015 0.05059
12030 0.04956
12045 0.04846
12060 0.04737
12075 0.04627
12090 0.04518
12105 0.04408
12120 0.04299
12135 0.04189
12150 0.04080
12165 0.03970
12180 0.03861
12195 0.03751
12210 0.03642
12225 0.03532
12240 0.03423
12255 0.03313
12270 0.03204
12285 0.03094
12300 0.02985
12315 0.02875
12330 0.02766
12345 0.02656
12360 0.02547
12375 0.02437
12390 0.02328
12405 0.02219
12420 0.02109
12435 0.02065
12450 0.02043
12465 0.02021
12480 0.01999
12495 0.01978
12510 0.01956
12525 0.01934
12540 0.01912
12555 0.01890
12570 0.01868
12585 0.01846
12600 0.01824
12615 0.01802
12630 0.01781
12645 0.01759
12660 0.01737
12675 0.01715
12690 0.01693
12705 0.01671
12720 0.01649
12735 0.01627
12750 0.01605
12765 0.01584
12780 0.01562
12795 0.01540
12810 0.01518
12825 0.01496
12840 0.01472
12855 0.01435
12870 0.01399
12885 0.01362
12900 0.01325
12915 0.01288
12930 0.01251
12945 0.01214
12960 0.01178
12975 0.01141
12990 0.01104
13005 0.01067
13020 0.01030
13035 0.00993
13050 0.00957
13065 0.00920
13080 0.00883
13095 0.00846
13110 0.00809
13125 0.00772
13140 0.00736
13155 0.00699
13170 0.00662
13185 0.00625
13200 0.00588
13215 0.00551
13230 0.00514
13245 0.00478
13260 0.00441
13275 0.00417
